entry_no,horse,rider,trainer,source
138,Cardozo 4,Tanner Korotkin,Alan Korotkin,class_oog.php
149,Quicksilver C,Luis Sabino Goncalves,Luis Sabino Goncalves,class_oog.php
118,Comme Ci Comme Ca,Ashlee Bond,Ashlee Bond,class_oog.php
140,Dorchester,Nora Nauss,Andrew C. Welles,class_oog.php
116,Santiago Vh Netehof,Cormac Hanley,Thea N. Stinnett,class_oog.php
152,Gradje O,Samuel Parot,Samuel Parot,class_oog.php
131,Mtm Pablo,Tracy Fenney,Michael J. Mccormick,class_oog.php
119,Diamond Rbc Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,class_oog.php
1565,Diabolo De La Roque,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1112,Cavendish,Wilton J. Porter,Wilton J. Porter,class_oog.php
3007,Del’arkan,Ryan Baldwin,Debbie L. Mccarthy-Connor,class_oog.php
1587,Dominance Z,Captain Brian Cournane,Captain Brian Cournane,class_oog.php
2952,Glenara Chacco Dp,Brian Murphy,Brian Murphy,class_oog.php
2934,Jalanne,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
1700,Chacoons Bellis Z,Todd D. Minikus,Todd D. Minikus,class_oog.php
2362,Constantin De Hus,John Michael Durr,John Michael Durr,class_oog.php
1907,Wild Kat,Jamie Alnwick,Scott Keach,class_oog.php
2020,Kannador,Clark Montgomery,Molly A. Kenney,class_oog.php
1696,Kinmar Candy Hero,Declan Egan,Declan Egan,class_oog.php
1341,Modena Lc,Juan J. Bancalari,Juan J. Bancalari,class_oog.php
2124,Spy,Paul O'Shea,Davide Troncanetti,class_oog.php
2961,Evolene De Carles,Vicente Guillen,Vicente Guillen,class_oog.php
1784,Storiall Blue,Stella Stinnett,Thea N. Stinnett,class_oog.php
2185,Inka Malpic,Rebecca Conway,Conan Conway,class_oog.php
1919,Carla,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
1995,Camino Imperio Egípcio,Ali Arbabi,Sharn L. Wordley,class_oog.php
1882,Kara J D'alve Z,Alexandria Beneson,Thea N. Stinnett,class_oog.php
1962,Isla De Coco,Anne W. Eldridge,Lauren E. Hough,class_oog.php
2174,Komet 306,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
2094,Gold Du Rouet,Taylor St Jacques,Andrew C. Welles,class_oog.php
2367,Khadiri,Jake Evans,Jake Evans,class_oog.php
2081,Rsk Quality Cruise,Khloe Kerins,Darragh Kerins,class_oog.php
1225,Cardline Kdw Z,Megan Wexler,Megan Wexler,class_oog.php
1047,Sandenal,Tanner Korotkin,Alan Korotkin,class_oog.php
1181,Kentucky N,Wilton J. Porter,Wilton J. Porter,class_oog.php
2618,Quina Blue Ps,Timothy Maddrix,Timothy Maddrix,class_oog.php
2932,Dakota Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
2875,Kawir Ms,Jared P. Petersen,Jared P. Petersen,class_oog.php
2880,Valentine Car,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
1002,Balou's Paul Ps,Diego Gaspar De Goes,Juan Benítez,class_oog.php
1695,I Jump D'authuit,Declan Egan,Declan Egan,class_oog.php
2950,Denison Park Combat,Elizabeth Schumann,Brian Murphy,class_oog.php
2534,Callisto De Fetan Z,Robert Mendoza,Robert Mendoza,class_oog.php
1017,Défi De La Roque,Juan Benítez,Juan Benítez,class_oog.php
2617,Istina Van De Kapel,Georgia Bouzaid,David Cameron,class_oog.php
1323,Uncle John’s Band,Camille Maynard,Camille Maynard,class_oog.php
2189,Indianapolis,Ivy Nyberg,Ivy Nyberg,class_oog.php
1916,Hhf Levison's Pride,Bryce P. Richardson,Bryce P. Richardson,class_oog.php
2566,Tough Enough,Spencer Brittan,Spencer Brittan,class_oog.php
2157,Streya,Jacqueline Steffens Daly,Jacqueline Steffens Daly,class_oog.php
1574,Valdes,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
2864,Dominator Touch Z,Kalli Core,Bobby Boulger,class_oog.php
2027,Lagegonda Fz,Clark Montgomery,Clark Montgomery,class_oog.php
1837,Os Quincy,Rebecca Warth,Rebecca Warth,class_oog.php
1649,Chacoons Gisa Blue Z,Kyle Dewar,Kyle Dewar,class_oog.php
3008,Mon-Ami,Debbie L. Mccarthy-Connor,Debbie L. Mccarthy-Connor,class_oog.php
2955,Cameron 38,Jamie M. Stryker,Kirk Webby,class_oog.php
1182,Lupina Colada,Wilton J. Porter,Wilton J. Porter,class_oog.php
2874,Dropshot Z,Jordan Petersen,Jared P. Petersen,class_oog.php
1086,It Is West,Rebecca Conway,Conan Conway,class_oog.php
1035,Ideal,Grace Lyons,Alan Korotkin,class_oog.php
2292,Icarus,Declan Egan,Declan Egan,class_oog.php
2879,Mick Jagger,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
1709,Headleys Kinetic,Anne L. Bingler,Anne L. Bingler,class_oog.php
1044,Peridoni 20,Elisabeth Rotsaert,Alan Korotkin,class_oog.php
1996,Thor Jr,Ali Arbabi,Sharn L. Wordley,class_oog.php
1038,Kindly,Tanner Korotkin,Alan Korotkin,class_oog.php
1742,Mason,Aidan Murphy,Candice King,class_oog.php
1223,Ledoux,Megan Wexler,Megan Wexler,class_oog.php
1684,Gelano,Jessica Collins,Jessica Collins,class_oog.php
1481,Limerick,Taylor Manning,Taylor Manning,class_oog.php
1567,Octavius Scf,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1066,Lufrieda Vdl,Clara Vidal,Daniela Roy,class_oog.php
1037,Insider Bh,Victoria Rotsaert,Alan Korotkin,class_oog.php
2132,Goliath,Addison Reed,Addison Reed,class_oog.php
2953,Ivanhoe,Elizabeth Schumann,Brian Murphy,class_oog.php
2931,Bellissima Dh Z,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
2394,Bambina,Elin Mossberg,Patrick R. Wilcher,class_oog.php
2135,Orisco,Addison Reed,Addison Reed,class_oog.php
1246,Redbull 33 Vdh,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php
2199,Tobias Van Kreyel Mc,Lauren Balcomb,Sharn L. Wordley,class_oog.php
1334,Classical Touch,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
3046,Dolittle 32,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php
1462,Pavarotti Van De Schutskooi,Cormac Hanley,Thea N. Stinnett,class_oog.php
2463,Eq Scorpio,Diego Farje,Sharn L. Wordley,class_oog.php
1831,Umtiti Van De Barlebuis,Lia Screnci,Lia Screnci,class_oog.php
2635,Tugano Van Klapscheut,Addison Reed,Raishun Burch,class_oog.php
2713,Superman Eh,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
1787,Tarantino De Rie,Robert Mendoza,Hanna Pieri,class_oog.php
1449,Curacao D'elsendam Z,Taylor St Jacques,Taylor St Jacques,class_oog.php
2204,5o1 Stakkatol's Dream,Jacob Fletcher,Jacob Fletcher,class_oog.php
1923,Olaf,Selcuk Koksalan,Selcuk Koksalan,class_oog.php
1327,Online,Clark Montgomery,Clark Montgomery,class_oog.php
1993,Copperfield Ghv Z,Molly Frei,Sven Frei,class_oog.php
2133,O'Malley Rfb,Addison Reed,Addison Reed,class_oog.php
2320,Mtm Good Question,Tracy Fenney,Michael J. Mccormick,class_oog.php
1296,Calou Us,Tanner Korotkin,Alan Korotkin,class_oog.php
2197,King William,Sharn L. Wordley,Sharn L. Wordley,class_oog.php
2568,Nasia’s Girl Keros,Hanna R. Egan,Hanna R. Egan,class_oog.php
2881,Don Cor Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
1342,Only Love B,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
1860,Crusader,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
1782,Cash For Roses,Bruno Diniz Das Neves,Bruno Diniz Das Neves,class_oog.php
2796,Santa Rosa Fiona,Priscilla Broger,Priscilla Broger,class_oog.php
2134,O-Toulon K,Addison Reed,Addison Reed,class_oog.php
1025,Dodicci,Tanner Korotkin,Alan Korotkin,class_oog.php
1042,Maiki,Tanner Korotkin,Alan Korotkin,class_oog.php
1045,Qastaar Van't Heike,Tanner Korotkin,Alan Korotkin,class_oog.php
1064,Locinthe Vdl,Clara Vidal,Daniela Roy,class_oog.php
1067,Noah,Clara Vidal,Daniela Roy,class_oog.php
1085,Conthargos Gold,Rebecca Conway,Conan Conway,class_oog.php
1108,Cali Blue Ps,Jessica Cross,Jessica Cross,class_oog.php
1109,Odilon,Soleil Katsur,Jessica Cross,class_oog.php
1224,Lord Cornet,Megan Wexler,Megan Wexler,class_oog.php
1241,Balou Blue Z,Brittni A. Raflowitz,Brittni A. Raflowitz,class_oog.php
1346,Britney Ps,Cullen Drescher,Derek Reed,class_oog.php
1347,Oscars Afterparty,Cullen Drescher,Derek Reed,class_oog.php
1425,Categorico Ec Z,Devin A. Seek,Stefano Baruzzo,class_oog.php
1519,Mtm Clarcona,Anna Mead,Stephen Dicarlo,class_oog.php
1563,Herlich,Bowers A. Cone,Stephen Dicarlo,class_oog.php
1595,Levano,Sarah E. Turner,Ben Taylor,class_oog.php
1679,Tarzan Z,Ana Cristina Rodriguez,Juan A. Rodriguez Silva,class_oog.php
1682,Allegra Van Het Eikenhof Z,Aria Collins,Jessica Collins,class_oog.php
1744,Diatoon Blue Ps,Madison Rose,Madison Rose,class_oog.php
1767,Gotham De Chalusse,Robert Mendoza,Robert Mendoza,class_oog.php
1877,Daham,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php
1878,Futur Du Pomiez,Jelmer Hoekstra,Tara G. Bostwick,class_oog.php
2003,Ancelotti,Ashley Romano,Ashley Romano,class_oog.php
2037,Fernhill Touch Of Grandeur,Kendall Stephens,Maya Denis,class_oog.php
2078,Lissino,Khloe Kerins,Darragh Kerins,class_oog.php
2108,Spice Of Life,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
2172,Castell 21,Amanda Gardiner,Megan Gardiner,class_oog.php
2173,Danilo Khr,Megan Gardiner,Megan Gardiner,class_oog.php
2291,Fleurescent,Declan Egan,Declan Egan,class_oog.php
2351,Otto Pilot,Jeannie M. Savegnago,Lauren Schweppe,class_oog.php
2365,Qiana,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
2573,Ballyforan,Patrick R. Wilcher,Patrick R. Wilcher,class_oog.php
2602,Fabian,Bonnie Silver,Annalee Bennett,class_oog.php
2702,For Jens Z,Patrick R. Wilcher,Dana G. Waters,class_oog.php
2709,Cfh Ricardo Two You,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
2733,Balisto,Maya Denis,Joachim Englert,class_oog.php
2821,Arianna Rv,John M. Struzzieri,Ryan Michael Genn,class_oog.php
2822,Chabluevara Ps,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
2823,Conlando 55,John M. Struzzieri,Ryan Michael Genn,class_oog.php
2824,Dame Bruchetta Z,Kitt Ritter,Ryan Michael Genn,class_oog.php
2832,Lindy Hop,Clark Montgomery,Clark Montgomery,class_oog.php
2933,Iron Rock,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
2935,Paseana,Jelmer Hoekstra,Jelmer Hoekstra,class_oog.php
2965,Kurano Sp Z,Brooklyn Castellano,Brooklyn Castellano,class_oog.php
3001,Kilenka Gl,Alyssa Amberge,Alyssa Amberge,class_oog.php
1039,King Z,Tanner Korotkin,Alan Korotkin,class_oog.php
1076,Curioso Van Maarle Z,Hector Florentino,Benjamin J. Meredith,class_oog.php
1105,Legacy Rs,Lauren E. Hough,Benjamin J. Meredith,class_oog.php
1261,Com'on Kylie M,Sophia Ayers,Ben Taylor,class_oog.php
1288,Cash The First Des Rosiers Z,Angela Swanson,Angela Swanson,class_oog.php
1289,Engas Aurantiaco,Angela Swanson,Angela Swanson,class_oog.php
1336,Dorothea Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
1340,Light Blue Mystic Rose,Juan M. Bolanos,Juan M. Bolanos,class_oog.php
1440,Maeberry,Matthew Le Master,Matthew Le Master,class_oog.php
1566,Itos S,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1568,Picobella De Pot,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1647,Dionte Van’t Merelsnest Z,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,class_oog.php
1660,Luau Cove Csf,Kyle Dewar,Kyle Dewar,class_oog.php
1666,F.ellouette,Sebastian Presa Tejada,Juan A. Rodriguez Silva,class_oog.php
1692,Cruise Mor,Lindsay Haselden,Lindsay Haselden,class_oog.php
1694,Hector Du Gue,Ryan Haselden,Declan Egan,class_oog.php
1766,Diatendra,Robert Mendoza,Robert Mendoza,class_oog.php
1853,Indiana De Riverland,Declan Egan,Declan Egan,class_oog.php
1880,Poliana Van Op De Berg,Alberto Sarmiento,Juan M. Bolanos,class_oog.php
1902,Born To Be Wild,Jamie Alnwick,Scott Keach,class_oog.php
1910,Mtm Cascadela,Evana Somareddy,Heather Dayner,class_oog.php
1913,Boleybawn Rolo,Bryce P. Richardson,Bryce P. Richardson,class_oog.php
1961,Fernhill Athletico Z,Lauren E. Hough,Lauren E. Hough,class_oog.php
2023,Joaquin Daloubet,Cristobal Castro,Cristobal Castro,class_oog.php
2029,Cobalto,Anne L. Bingler,Anne L. Bingler,class_oog.php
2093,Dragonfly,Nora Nauss,Andrew C. Welles,class_oog.php
2152,Bluebelle,Andres A. Correa,Andres A. Correa,class_oog.php
2155,La Luciole,Jacqueline Steffens Daly,Jacqueline Steffens Daly,class_oog.php
2158,Calibur W,H Dougl Schreiber,H Dougl Schreiber,class_oog.php
2196,Kan So,Diego Farje,Sharn L. Wordley,class_oog.php
2294,Onetta Vd Fruitkorf Z,Declan Egan,Declan Egan,class_oog.php
2313,Mtm Bubba,Ellham Memari,Michael J. Mccormick,class_oog.php
2354,Kleopatra Hero Z,Luke Sassi,Luke Sassi,class_oog.php
2372,F Miss Gouvernante Vdl Z,Anthony Sauriol,Anthony Sauriol,class_oog.php
2402,Diabalou Ps,Lukene Arenas,Lukene Arenas,class_oog.php
2572,Geisha D’agenais,Cyril Chatel,Laura Gaither,class_oog.php
2630,Vamos,Ashlynn Meuchel,Ashlynn Meuchel,class_oog.php
2631,Zhardas Kil,Ashlynn Meuchel,Ashlynn Meuchel,class_oog.php
2710,Elwen M' Aurea,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
2711,Emyr De Launay,Mauricio Gruener,Juan E. Hidalgo,class_oog.php
2712,Il Vole Du Park,Juan E. Hidalgo,Juan E. Hidalgo,class_oog.php
2717,Catoki's Fly Girl,Campbell Lear,Pamela Gomez,class_oog.php
2718,Lucas 274,Valeska Furlong,Pamela Gomez,class_oog.php
2722,de Lisle Apollo,Mia Smith,David Cameron,class_oog.php
2792,Helia Des Bergeries,Camille Maynard,Matt Martin,class_oog.php
2846,KS Barbie,Maleah Lang Mcmahon,Maleah Lang Mcmahon,class_oog.php
2873,Comme II Reality,Elizabeth Solomon,Elizabeth Solomon,class_oog.php
2885,Official First Hj Z,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
2929,Kaytaro,Declan Egan,Declan Egan,class_oog.php
2982,Cylano,Savannah Groselle,Savannah Groselle,class_oog.php
2993,Delando De St Leger,Dorothy Douglas,Jelmer Hoekstra,class_oog.php
2997,Qatar,Hector Florentino,Hector Florentino,class_oog.php
3016,Dorado Sdn,Cooper Beisel,Ben Taylor,class_oog.php
3051,Undercover,Staisha Connors,Michael Connors,class_oog.php
1075,Chris B,Hector Florentino,Benjamin J. Meredith,class_oog.php
1275,Norton Vdl,Abby Grabowski,Ben Taylor,class_oog.php
1455,Phoenix Air,Lanie Nash,Dawn Hersey,class_oog.php
1569,Rondalla Ls,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1593,Vdl Nevena,Belen Guarderas,Juan M. Bolanos,class_oog.php
1661,Major,Kyle Dewar,Kyle Dewar,class_oog.php
1768,Mistigrise Du Seigneur,Robert Mendoza,Robert Mendoza,class_oog.php
1843,Accelerator,Fabian Herrera,Fabian Herrera,class_oog.php
2091,Cismet 4,Andrew C. Welles,Andrew C. Welles,class_oog.php
2181,Chaning Tatum,Robert Mendoza,Samantha Mccleerey,class_oog.php
2569,Night Light,Hanna R. Egan,Hanna R. Egan,class_oog.php
2719,Nobeltje,Amanda Gomez,Pamela Gomez,class_oog.php
2731,Picar,Mario Garcia,Mario Garcia,class_oog.php
2876,Ewsz Omega,Gonzalo Guevara,Gonzalo Guevara,class_oog.php
2956,Cornetta Lazar,Kirk Webby,Kirk Webby,class_oog.php
3011,Guibet P,Amanda Gomez,Pamela Gomez,class_oog.php
3035,Cooley Elusive,Tom Monaghan,Tom Monaghan,class_oog.php
3037,Malmo 54,Tom Monaghan,Tom Monaghan,class_oog.php
1104,Hallmark Hpf,Hector Florentino,Benjamin J. Meredith,class_oog.php
1215,Temptation V/H Haringvliet Z,Jodie Camberg,Megan Wexler,class_oog.php
1273,Mucksmaeuschenstill,Aaron Vale,Ben Taylor,class_oog.php
1452,Onyx,Taylor St Jacques,Taylor St Jacques,class_oog.php
1460,Cognac Vh Gebergte Z,Cormac Hanley,Thea N. Stinnett,class_oog.php
1592,Oakland,Belen Guarderas,Juan M. Bolanos,class_oog.php
1705,Pi-Air,Riley Delbecq,Todd D. Minikus,class_oog.php
1735,Cachaca Pitu Lhf,Marcus Gruenthal,Marcus Gruenthal,class_oog.php
1743,Tillman,Aidan Murphy,Candice King,class_oog.php
1745,Oa Uno Mas Cerveza,Madison Rose,Madison Rose,class_oog.php
1786,Lyonheart,Robert Mendoza,Hanna Pieri,class_oog.php
2036,Diablue Sh Z,Jared P. Petersen,Jared P. Petersen,class_oog.php
2069,Bizzy Sh,Jordan Petersen,Jared P. Petersen,class_oog.php
2360,Cassaderra Na,Taryn M. Adamy,Taryn M. Adamy,class_oog.php
2633,Dimazzo,Leah Lang-Gluscic,Leah Lang-Gluscic,class_oog.php
2866,Kateri,Kalli Core,Bobby Boulger,class_oog.php
2960,Dracko Van Het Vinckenhof Z,Vicente Guillen,Vicente Guillen,class_oog.php
1021,Rover,Kelly Prather,Michael K. Kennedy,class_oog.php
1257,Avalanche,Mallory Vale,Ben Taylor,class_oog.php
1263,Eliott Dz,Aaron Vale,Ben Taylor,class_oog.php
1277,Reelz,Mallory Vale,Ben Taylor,class_oog.php
1513,Ck’s Superman,Libby Woodworth,Stephen Dicarlo,class_oog.php
1707,Ally Z,Anne L. Bingler,Anne L. Bingler,class_oog.php
1757,Frodo,River A. Wylde,River A. Wylde,class_oog.php
1793,Comme Il Hero Z,Matthew Le Master,Matthew Le Master,class_oog.php
2073,Ballyheerin Belle Jorado,Sarah Kerins,Darragh Kerins,class_oog.php
2080,P-Capitola,Sarah Kerins,Darragh Kerins,class_oog.php
2153,Dulce,Andres A. Correa,Andres A. Correa,class_oog.php
2162,Paulownia,Josh Dolan,Josh Dolan,class_oog.php
2341,Diamant's Invincible Na,Jared P. Petersen,Derek Petersen,class_oog.php
2707,Voila Bbf,Hayley G. Waters Wear,Dana G. Waters,class_oog.php
2708,Volcano Bbf,Hayley G. Waters Wear,Dana G. Waters,class_oog.php
2836,Forseti,Ben Taylor,Ben Taylor,class_oog.php
2884,Karma,Ryan Michael Genn,Ryan Michael Genn,class_oog.php
2946,Calderon T,Andras Szieberth,Andras Szieberth,class_oog.php
2963,Diadora,Jordan Petersen,Jared P. Petersen,class_oog.php
2996,Maleficent Ht,Hector Florentino,Benjamin J. Meredith,class_oog.php
3049,Donna Lucardie Z,Francesca Chiatti,Anna Christina Gansauer,class_oog.php
1268,Invictus,Aaron Vale,Ben Taylor,class_oog.php
1293,Getthe Muny Bernie,Carrie Riddle,Lindsay Barrack,class_oog.php
1297,La La Land,Christina Faninger,Alan Korotkin,class_oog.php
1298,Pays Bas V,Sophie Smith,Morgan Taylor,class_oog.php
1343,Pedro Molino,Kristen Litteken,Juan M. Bolanos,class_oog.php
1437,Balencia,Stella Gavin,Matthew Le Master,class_oog.php
1465,Norelien,Maya Allhusen,Mario Garcia,class_oog.php
1480,Ameko Chaccord,Taylor Manning,Taylor Manning,class_oog.php
1591,Irish Coffee Vhl,Iliana Palumbo,Alan Korotkin,class_oog.php
1598,Sublime,Sophie Smith,Morgan Taylor,class_oog.php
1775,Once Upon A Time,Alyson Jones,Kim Taylor,class_oog.php
1883,Untouchable's Unique,Dominic Arnold,Alyssa Venn,class_oog.php
2156,Lady Roxy,Suzanne Burns,Jacqueline Steffens Daly,class_oog.php
2177,Ata Fe Dulce,Lyla Roberts,Mario Garcia,class_oog.php
2375,Sylvester Ter Linden,Lynde Johnson,August Torsilieri,class_oog.php
2405,Billy Suffragette,Emerson Ritter,Morgan Taylor,class_oog.php
2543,Billy Snowdonia,Camille Maynard,Camille Maynard,class_oog.php
2803,Kanai,Addison Reed,Addison Reed,class_oog.php
2834,Hercules,Maya Allhusen,Mario Garcia,class_oog.php
2877,Big Castle,Shannon Y. Clifford,Shannon Y. Clifford,class_oog.php
2882,Crush,Scott Diffey,Scott Diffey,class_oog.php
2970,Fe Crack The Code,Amanda Gardiner,Megan Gardiner,class_oog.php
3039,Billy Adorable,Sophie Smith,Morgan Taylor,class_oog.php
1003,Daizi De Beaufour,Rita de Goes,Juan Benítez,class_oog.php
1043,Markanto A,Tanner Korotkin,Alan Korotkin,class_oog.php
1096,Cold Play,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
1102,Talk About Me,Violetta Bergonzoli,Morgan Taylor,class_oog.php
1145,Cecile S,Alicia Taylor,Stephen Dicarlo,class_oog.php
1201,Contika 46,Kacey Conway,Kacey Conway,class_oog.php
1248,Ciemusic Z,Kathryn Camunas,Erica Robson,class_oog.php
1278,Remus Van't Merelsnest,Sophia Ayers,Ben Taylor,class_oog.php
1326,The Getaway Car,Lanie Nash,Dawn Hersey,class_oog.php
1439,Il Dolce,Lauren Flesher,Matthew Le Master,class_oog.php
1454,Mr Dw,Lanie Nash,Dawn Hersey,class_oog.php
1516,Grandia,Bowers A. Cone,Stephen Dicarlo,class_oog.php
1685,Hh Hyyerr Calling,Jessica Collins,Jessica Collins,class_oog.php
1769,Nevada Vdl,Robert Mendoza,Robert Mendoza,class_oog.php
1777,Bz Cancara,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1778,Lisdeen Lady Kvj,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
1795,Mazatlan Ps,Violetta Bergonzoli,Morgan Taylor,class_oog.php
1866,Mckenzie Z,Celso Ariani,Celso Ariani,class_oog.php
1867,Orindus W,Celso Ariani,Celso Ariani,class_oog.php
1932,Florian,Windsor Ryan,Traci A. Weston,class_oog.php
1982,Herakles,Izabella Mcnerney,Izabella Mcnerney,class_oog.php
2107,Mary J,Isaac Leffkowitz,Isaac Leffkowitz,class_oog.php
2142,Bellefleur Z,Carson L. Ruff,Carson L. Ruff,class_oog.php
2144,U Amon Z,Paul O'Shea,Carson L. Ruff,class_oog.php
2148,Elle Woods,Kimberly Tobias,Abby Strohmeyer,class_oog.php
2149,Ferris Bueller,Kimberly Tobias,Abby Strohmeyer,class_oog.php
2154,Enzo Ferrari,Andres A. Correa,Andres A. Correa,class_oog.php
2179,Nice Cool De Virton,Paul O'Shea,Kaileigh Brandt,class_oog.php
2187,En Vogue,Maddison Stephen,David Cameron,class_oog.php
2200,Chagrandino Ps,Luciano Dome,Luciano Dome,class_oog.php
2290,Castello Z,Declan Egan,Declan Egan,class_oog.php
2293,Miss Cranny Sarco,Declan Egan,Declan Egan,class_oog.php
2521,Excel Star Fair Play,Alexandra Hird,August Torsilieri,class_oog.php
2523,Lugano,Liliana Nora Menesi,August Torsilieri,class_oog.php
2559,Dee Dee Gz,Samantha Fields,Spencer Brittan,class_oog.php
2562,Inlaws Manolo,Spencer Brittan,Spencer Brittan,class_oog.php
2667,Calypso,Josephine Demmo,Alan Korotkin,class_oog.php
2728,Wingardium Leviosa KS,Dominic Arnold,Alyssa Venn,class_oog.php
2793,Ibalia,Eva Bernstein,Matt Martin,class_oog.php
2825,Kereen Cobra,Kitt Ritter,Ryan Michael Genn,class_oog.php
2837,Carmenzita,Antonio J. Martinez,Antonio J. Martinez,class_oog.php
2840,Gabriella T,Mary Collier Pope,Andras Szieberth,class_oog.php
2984,Vdl Escape Z,Savannah Groselle,Savannah Groselle,class_oog.php
3009,Coby Z,Jenna P. Friedman-Lopez,Jenna P. Friedman-Lopez,class_oog.php
1074,Caballa Ps,Hector Florentino,Benjamin J. Meredith,class_oog.php
1088,Titan,Mckenzie Miller,Conan Conway,class_oog.php
1266,Hopeful Z,Sophia Ayers,Ben Taylor,class_oog.php
1272,Mtm Anonymous Z,Aaron Vale,Ben Taylor,class_oog.php
1279,Samba Do Brasil,Aaron Vale,Ben Taylor,class_oog.php
